Provinsi,Jumlah Bencana Alam - Gempa Bumi,Jumlah Bencana Alam - Tsunami,Jumlah Bencana Alam - Gempa Bumi dan Tsunami,Jumlah Bencana Alam - Letusan Gunung Api,Jumlah Bencana Alam - Tanah Longsor,Jumlah Bencana Alam - Banjir,Jumlah Bencana Alam - Kekeringan,Jumlah Bencana Alam - Kebakaran Hutan dan Lahan,Jumlah Bencana Alam - Cuaca Ekstrem,Jumlah Bencana Alam - Gelombang Pasang/Abrasi
Aceh,,,,,2,48,1,35,17,
Sumatera Utara,,,,,10,101,1,25,26,1
Sumatera Barat,,,,,8,52,1,3,2,1
Riau,,,,,1,54,,7,2,2
Jambi,,,,,,15,,4,2,
Sumatera Selatan,,,,,1,43,,13,8,
Bengkulu,1,,,,1,8,,1,1,
Lampung,,,,,,27,1,7,25,
Kepulauan Bangka Belitung,,,,,,2,,20,3,
Kepulauan Riau,,,,,1,4,,22,13,
DKI Jakarta,,,,,,10,,,3,
Jawa Barat,6,,,,50,79,10,11,101,1
Jawa Tengah,2,,,,19,71,8,38,75,
DI Yogyakarta,1,,,,,,3,,10,
Jawa Timur,2,,,,11,86,12,104,83,
Banten,1,,,,3,34,1,2,5,
Bali,2,,,,5,4,4,4,2,
Nusa Tenggara Barat,1,,,,1,36,4,3,11,1
Nusa Tenggara Timur,,,,3,4,6,,4,7,1
Kalimantan Barat,,,,,,41,,7,2,
Kalimantan Tengah,,,,,,38,,9,,
Kalimantan Selatan,1,,,,1,15,,6,4,
Kalimantan Timur,,,,,,13,,5,3,
Kalimantan Utara,,,,,2,5,,3,,
Sulawesi Utara,,,,1,1,17,,,3,1
Sulawesi Tengah,3,,,,1,71,,1,2,
Sulawesi Selatan,,,,,7,77,7,3,29,1
Sulawesi Tenggara,,,,,,17,,,3,
Gorontalo,,,,,2,32,1,,1,
Sulawesi Barat,,,,,2,16,,,3,
Maluku,,,,,1,17,,,7,1
Maluku Utara,1,,,2,1,25,,,2,1
Papua Barat,,,,,1,10,,,,1
Papua Barat Daya,,,,,,4,,,,
Papua,,,,,...,6,,,,1
Papua Selatan,,,,,,2,,,,1
Papua Tengah,,,,,,5,,,,
Papua Pegunungan,,,,,3,,,,,
Indonesia,19,,,5,139,1,54,337,455,14
